nct_id,brief_title,kmeans_cluster
NCT06668610,A Multifocal tDCS-EEG Protocol for Improving Symptoms of Mild Cognitive Impairment and Early Dementia,5
NCT05623124,Ruijin Neurobank of Alzheimer's Disease and Dementia,2
NCT06402838,A Study to Evaluate the Safety and Biomarker Effects of RO7269162 in Participants at Risk for or at the Prodromal Stage of Alzheimer's Disease (AD),0
NCT03709238,Pain Processing and Pain Reporting in Patients With Alzheimer's Disease,2
NCT07424443,Pilot Study of a Brain Health Program in Senior Centers,3
NCT07037550,Effectiveness of Strength-based Intervention for Elderly With Dementia Living in the Community,3
NCT04939818,Clinical Feasibility of Speech Phenotyping for Remote Assessment of Neurodegenerative and Psychiatric Disorders,2
NCT06740162,Physical Activity and Community EmPOWERment Project,3
NCT03475446,The Effect of tES on a Cognitive Training,2
NCT04141150,Evaluation of [18F]APN-1607 PET Uptake in Alzheimer's Disease Patients Compared With Healthy Subjects,0
NCT04482413,Study to Evaluate the Safety and Efficacy of AstroStem in Treatment of Alzheimer's Disease,1
NCT07249918,Feasibility of Wearables in Dementia Care in Rural Taiwan,3
NCT04863859,Persons With Dementia and Their Extended Family Caregivers,3
NCT04634396,Possible Therapy by Phone for Caregivers,3
NCT07213284,Michigan Healthy Mom (MI-MOM) Pregnancy Improvement Web Application Trial,3
NCT02500784,Improving Beta-2 Adrenergic Signaling in Alzheimer's Disease,2
NCT05479552,A Diagnostic Test for Dementia With Lewy Bodies,2
NCT00001933,Nefiracetam in the Treatment of Alzheimer's Disease,2
NCT03682874,Identifying Novel Aging Targets for Treatment of Delirium,2
NCT03319810,Effect of IVIG on Cerebral and Retinal Amyloid in Mild Cognitive Impairment Due to Alzheimer Disease,0
NCT06276023,Supporting Our Caregivers In ADRD Learning (SOCIAL),3
NCT07227961,PROMIS and Mobility Evaluation in Sarcoma Patients,3
NCT01847586,Enhancing Neuroplasticity and Frontal Lobe Function in Patients With Mild Alzheimer's Disease,2
NCT00966966,Study Evaluating Potential Interaction Between SAM-531 And Gemfibrozil When Co-Administered,4
NCT06722352,Palliative Care Education in Assisted Living for Dementia Care Providers (PCEAL-DCP),3
NCT05615233,TACAD Program for Asian American Family Caregivers of Persons Living With Alzheimer's Disease,3
NCT01972204,Intensive Instruction on the Use of Aricept,2
NCT01478204,A Study to Evaluate Sleep Quality in Patients With Mild to Moderate Alzheimer's Disease,1
NCT06424652,Effect of Physiologic Insulin Administration on Cognition,2
NCT03486938,Study of AGB101 in Mild Cognitive Impairment Due to Alzheimer's Disease,5
NCT07093684,Dementia and Kidney Disease: Epidemiological Approaches to Risk Factors and Treatment Strategies,2
NCT03412604,Effect of Modulating Gamma Oscillations Using tACS,0
NCT07380204,Quantification of Hsp90 in the Human Brain,0
NCT00267163,Brain Imaging and Mental Disorders of Aging Intervention,2
NCT02127476,A Study of Single and Multiple Doses of KHK6640 in Subjects With Prodromal or Mild to Moderate Alzheimer's Disease,4
NCT05255068,OPTIMAL in NH Residents With Dementia,3
NCT02336360,Augmenting Flortaucipir Dosimetry Estimates,2
NCT00100282,Safety Study of PPI-1019 in Patients With Mild-Moderate Alzheimer's Disease,1
NCT03431896,Monitoring of Early Disease Progression in Hereditary Transthyretin Amyloidosis,2
NCT02440646,Natural History of Coronary Atherosclerosis in Real-World Stable Chest Pain Patients Underwent Computed Tomography Angiography in Comparison With Invasive Multimodality Imaging,2
NCT06459583,Evaluation of Self-Mediated Alternatives for Risk Testing Education and Return of Results,3
NCT06835283,Novel Brain Stimulation Treatment for Neuropsychiatric Symptoms in Alzheimer's Disease,2
NCT01807026,A Study of LY2886721 in Healthy Participants and Participants Diagnosed With Alzheimer's Disease,2
NCT07558785,Telemedicine Self-examination of Speech and Memory for Rapid Detection of Cognitive Impairments Using Machine Learning Methods,2
NCT02164643,Longitudinal Study of Brain Amyloid imaGing in MEMENTO,2
NCT03967535,Connectomics in Psychiatric Classification,2
NCT02742597,Patient-Centred Innovations for Persons With Multimorbidity - Ontario,3
NCT05817188,Medication Repurposing to Stop Cognitive Decline in Dementia,2
NCT04021888,The Effects of Exercise Program in Alzheimer's Patients With Mild to Moderate Stage Alzheimer's Disease,3
NCT02221661,"Performance of AclarusDx® a Blood-Based Transcriptomic Test for AD, in French Patients Newly Referred to a Memory Center",2
NCT05842473,Long-term Effect of TMS in Primary Progressive Aphasia,2
NCT05478031,A Phase 2a Study to Investigate REM0046127 in Mild to Moderate Alzheimer's Disease,1
NCT02694445,Monetary Cost of Alzheimer's Disease in China,2
NCT07135245,Improved Treatment and Monitoring of Alzheimer's Disease,2
NCT03867253,Testing the Safety and Preliminary Efficacy of the New Drug ORY-2001 in Mild to Moderate Alzheimer's Disease,1
NCT05422339,Efficacy of Gamification in Enhancing User Engagement,3
NCT03035201,COcoa Supplement and Multivitamin Outcomes Study for the Mind,5
NCT06999434,Exploring the Utility of [18F]3F4AP for Demyelination Imaging,5
NCT04939792,Optimization of Blood Levels of 25(OH)-Vitamin D in African Americans,5
NCT06448975,An Exploratory Study of Deep Cervical Lymphovenous Bypass (LVB) in Alzheimer's Disease,2
NCT01282619,Study of Huperzine A Sustained-Release Tablets in Patients With Alzheimer's Disease,1
NCT03447171,"Prospective Evaluation of a Smartphone Application, GoCheckKids™, to Detect Amblyopia Risk Factors in Young Children",2
NCT01378195,iCare Stress Management e-Training for Dementia Family Caregivers,3
NCT01696019,Randomized Trial of Exercise and Social Interaction in a Community-Based Sample of Non-Demented Chinese Elders,2
NCT05433493,Effect of Individual Cognitive Stimulation on Memory and Executive Function in Older Adults With Alzheimer's Disease,2
NCT06651567,A Study to Assess the Efficacy and Safety of ITI-1284 in the Treatment of Agitation Associated With Alzheimer's Dementia,1
NCT01297114,"Imaging of Cognition, Learning, and Memory in Aging",2
NCT01380288,Cognitive Changes in Alzheimer's Disease Patients Associated With or Without White Matter Changes After Rivastigmine,2
NCT01055561,A Study of Acupuncture for Patients With Behavioural and Psychological Symptoms of Dementia,4
NCT03623542,Adverse Drug Reactions in Older Subjects,3
NCT07228078,Open-Label Extension Protocol to SNK01-AD01 Study,1
NCT04857060,Palliative Care Educator,3
NCT04322461,"Effect of Exercise, Endocannabinoids and Ketones on Cerebral Metabolism in a Cognitive Disorders Population",2
NCT02063269,Brain Changes by Rivastigmine According to Butyrylcholinesterase Alleles,2
NCT03942341,Sleep in Adults With Down Syndrome and Alzheimer's Disease,3
NCT00689637,Drug Interaction Study Between AZD3480 and Warfarin,2
NCT06996730,"A Study of Donanemab, RG6289, or the Combination of Donanemab and RG6289 in Presenilin 1 (PSEN1) E280A Mutation Carriers for the Treatment of Autosomal-Dominant Alzheimer's Disease",0
NCT05997030,Low-Intensity Focused Ultrasound (LIFU) Neuromodulation,5
NCT02711683,DL-3-n-butylphthalide Treatment in Patients With Mild to Moderate Alzheimer's Disease Already Receiving Donepezil,2
NCT05803122,Validation of the I-UDS Neuropsychological Battery,5
NCT06220292,Intermittent Oral-esophageal Tube Feeding in Alzheimer's Patients With Dysphagia,3
NCT05497427,Normative Database and Test-Retest Reliability for BrainCheck Assessments,2
NCT06812442,Effectiveness of a 3-month Individual Reminiscence Therapy Program in Older Adults With Alzheimer's Disease,3
NCT01351142,Cytokines and Cognitive Decline in Alzheimer's Disease,2
NCT06539169,FLOWER: Following Longitudinal Outcomes With Epidemiology for Rare Diseases,3
NCT03195894,Clinical Study of TripleA for Treatment of Alcohol Addiction in Outpatient Care,3
NCT00001972,PET Scan of Brain Metabolism in Relation to Age and Disease,2
NCT04308512,Care Coordination System for People With Dementia,3
NCT04538066,Bryostatin Treatment of Moderately Severe Alzheimer's Disease,1
NCT00630851,A Study of the Efficacy and Safety of Aricept in Patients With Severe Alzheimer's Disease Who Are Living in Skilled Nursing Homes,1
NCT00558402,Meditation or Education for Alzheimer Caregivers,3
NCT01142336,Effects of Simvastatin on Biomarkers,2
NCT02802371,Pharmaceutical Collaborative Care Integrated to a Multidisciplinary Psychosocial Program,3
NCT07385937,Effectiveness of Genistein in Mild Cognitive Impairment,5
NCT05102045,The Effects of Repetitive Transcranial Magnetic Stimulation in Patients With Alzheimer's Disease,2
NCT02142777,S-Equol in Alzheimer's Disease (SEAD) Trial,2
NCT07099001,Establishing Clinical Utility Evidence for a Novel Alzheimer's Disease Blood-Based Biomarker Assay,2
NCT00423228,Efficacy Study of a ZT-1 Implant in Patients Suffering From Alzheimer's Disease,2
NCT04606251,Home-Based Telerehabilitation for People With Alzheimer Disease,3
NCT05463731,A Study of Remternetug (LY3372993) in Participants With Alzheimer's Disease (TRAILRUNNER-ALZ 1),1
NCT05959239,TB006 Expanded Access (EA) Compassionate Use,2
NCT03848312,Preventing Alzheimer's With Cognitive Training,5
NCT04563767,Feasibility - Infinitome,2
NCT01384344,Ecological Assessment of Apathy in Alzheimer's Disease and in Control Subjects: Video Recognition and Actigraphy,2
NCT07087951,Efficacy of Gamma Auditory Stimulation for Cognitive Decline in Older Adults (Study 1),5
NCT06216275,Enhancing Calm in Arab Elderly With Dementia,3
NCT00505167,Memantine Versus Donepezil in Early Stages of Alzheimer's Disease,2
NCT05607615,A 6-Month Study to Evaluate the Safety & Potential Efficacy of Trappsol Cyclo in Patients With Early Alzheimer's Disease,3
NCT01773915,New Proteins in Body Fluids as Potential Biomarker for Alzheimer's Disease: a Pilot Study,2
NCT00104013,Study of Xaliproden (SR57746A) in Patients With Mild-to-Moderate Dementia of the Alzheimer's Type,1
NCT05905796,"The Brain Health Study: A Pragmatic, Patient-Centered Trial",2
NCT00792662,"Improving Function, Quality of Life, Glycemia in Diabetics With Dementia",3
NCT03402503,"Safety, and Efficacy of a New Buccal Film of Montelukast in Patients With Mild to Moderate Alzheimer's Disease",1
NCT00814346,Effect of EGb761® on Brain Glucose Metabolism in Three Groups of Elderly Defined by Cognitive Functions,2
NCT05080777,Pilot Pragmatic Clinical Trial to Embed Tele-Savvy Into Health Care Systems,3
NCT05107882,Optina Diagnostics' Cerebral ß-Amyloid Status (CAS) Test,5
NCT05525780,"Dose-Escalation Study to Assess the Safety, Tolerability, and Pharmacokinetics of Donepezil From Single Dose of GB-5001 IM Depot and Aricept® Oral Tablets in Healthy Male Volunteers",4
NCT01639586,Comparison for the Patient With Alzheimer Disease the Impact of Three Different Groups of Patient Care,3
NCT01179373,Deep Transcranial Magnetic Stimulation for Treatment of Alzheimer's Disease,2
NCT06304129,Diagnostic Performance of Plasma Biomarkers of Alzheimer's Disease Compared With CSF Markers,2
NCT02094729,"A Randomized, Double-blind, Placebo-controlled Study to Assess Safety, Tolerability, Pharmacokinetics, Immunogenicity, and Pharmacodynamic Response of Repeated Intravenous Infusions of BAN2401 in Subjects With Mild Cognitive Impairment Due to Alzheimer's Disease and Mild Alzheimer's Disease",4
NCT04949529,Falls: A Marker of Preclinical AD,2
NCT04555941,The Effects of Intermittent Theta Burst Stimulation in MCI and Early AD,2
NCT01700556,A Trial to Support Caregivers of Patients With Dementia in Italy: the UP-TECH Project,3
NCT00069849,A Study of the Safety and Efficacy of Multiple Doses of ABT-089 in Subjects With Alzheimer's Disease,1
NCT03811847,A Pilot of Methylphenidate in Mild Cognitive Impairment and Dementia Participants.,5
NCT06264258,Game-based Pediatric Diabetes Education,3
NCT02854033,Alzheimer's Disease Neuroimaging Initiative 3,2
NCT06540833,A Study to Assess the Efficacy and Safety of ITI-1284 in the Treatment of Psychosis Associated With Alzheimer's Disease,1
NCT01097096,"Safety, Tolerability and Abeta-specific Antibody Response of Repeated i.m. Injections of Adjuvanted CAD106 in Mild Alzheimer Patients",1
NCT02690896,Caregiver Burden and Depression: Caring for Those Who Care for Others,3
NCT03984396,Optimal Medication Management in Alzheimer's Disease and Dementia,3
NCT00735046,Cognitive Behavioural Therapy of Early Dementia,3
NCT04575727,Exploratory Evaluation of [11C]MPC6827,2
NCT02978742,Evaluating and Implementing a Smartphone Application Treatment Program for Bulimia Nervosa and Binge Eating Disorder,3
NCT03801642,Dapagliflozin In Alzheimer's Disease,2
NCT03363269,Evaluate the Efficacy and Safety of ID1201 for Dose-finding in Mild Alzheimer's Disease,1
NCT04481568,Reducing Behavioral and Psychological Symptoms of Dementia: Family Caregivers (Aim 1),3
NCT06242574,"Meaningful Aspects of Health for Adults With Dementia, Their Care Partners and Healthcare Practitioners",3
NCT03698760,Computerized Olfactory Test - Alzheimer Disease Mild Stage,2
NCT04260724,Study on the Effect of Transcranial Magnetic Stimulation in Mild to Moderate Alzheimer's Disease,2
NCT03696888,Skills-training for Reducing Risky Alcohol Use in App Form,3
NCT02134041,Amyloid Accumulation After Mild Traumatic Brain Injury,2
NCT00329082,Effects of LY2062430 in Subjects With Mild-to-Moderate Alzheimer's Disease and in Healthy Volunteers,1
NCT05527288,A Bridging Study on Efficacy and Safety of [18F]Florbetaben PET for Diagnosis of Alzheimer Disease Subjects in Chinese Population,0
NCT00393627,Behavioral Sleep Intervention in Adult Family Homes,3
NCT04065061,"Erinacine A-enriched Hericium Erinaceus Mycelia for Improvement of Recognition, Vision, and Functional MRI Alterations",2
NCT07425769,Adapting RDAD for DS,3
NCT02841605,Enteric Nervous System in Alzheimer Disease,2
NCT07069530,Impact of Musical Therapeutic Intervention on Depression in Dementia Patients and Caregiver Burden,3
NCT06359171,Effectiveness of the ARTH-e Application for Exercise Adherence in People With Knee Osteoarthritis : RCT,3
NCT03370744,Prediction of Cognitive Decline by Neuroimaging Techniques and the Application in Diagnosis and Treatment of Preclinical AD,2
NCT07341009,Evaluation of a Neuropsychological Tool to Assess Temporal Processing Abilities in Alzheimer's Disease,2
NCT06322667,A Post Marketing Study in Participants With Early Alzheimer's Disease Treated With Lecanemab,2
NCT00947934,Study of the Brain Stimulation Effect on Memory Impairment in Alzheimer Disease,2
NCT04838301,Allopregnanolone Regenerative Therapeutic for Mild Alzheimer's Disease,1
NCT00381381,The Clinical Response of Choline Acetyltransferase and Apolipoprotein Epsilon Gene Polymorphisms to Donepezil in Alzheimer's Disease,2
NCT01825330,Effect of NeuroAD on the Cognitive Function of Alzheimer Patients,2
NCT00698165,Observational Study on Costs and Caregiver Burden in Alzheimer's Disease,3
NCT07373067,Repeat Intracerebroventricular Injections of RB-ADSC in Subjects Previously Treated in RBI Protocol RB-ADSC-02,1
NCT00908492,Supporting Caregivers of Persons With Dementia: A Pilot Study,3
NCT02040987,AZD3293 Thorough QT Study in Healthy Male Volunteers,4
NCT00479219,Study Evaluating GSI-953 in Healthy Young and Alzheimer's Patients,4
NCT00480467,"Study Evaluating the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of SAM-315 in Healthy Japanese Males",4
NCT02819700,Evaluation and Characterization of Behavioural Disorders and Dementias by the Behavioural Dysexecutive Syndrome Inventory (BDSI),5
NCT06770309,A Study of Silkworm Pupa Powder Intervention in the Nutritional Status of Patients with Alzheimer's Disease.,3
NCT04124029,Contributions of mTBI to Neurodegeneration Due to Chronic Traumatic Encephalopathy (CTE) and Alzheimer's Disease (AD),2
NCT06367231,SCGs as a Proxy for Determining the Cognitive Status of Older Adults,5
NCT00134953,Efficacy and Safety of Rivastigmine in Patients With Mild Cognitive Impairment,5
NCT05007353,The SINgapore GERiatric Intervention Study to Reduce Cognitive Decline and Physical Frailty (SINGER) Study,3
NCT01843075,Evaluating Liraglutide in Alzheimer's Disease,1
NCT04669028,A Phase 3 Study of NE3107 in Probable Alzheimer's Disease,1
NCT04718207,Modelling in the Quantitative Analysis of Brain PET Scans in Patients With Alzheimer's Disease,0
NCT03153371,Early-onset Alzheimer's Disease Phenotypes: Neuropsychology and Neural Networks,2
NCT01042314,Drug-Drug Interaction Study With Aricept® (Donepezil),2
NCT03860857,"Biomarker Exploration in Aging, Cognition and Neurodegeneration",0
NCT05501119,SUPPORT-D Intervention for Persons With Alzheimer's Disease and Their Caregivers,3
NCT05800028,Memory and Social Interactions,2
NCT04938271,A Telehealth Study of a Wearable Electroceutical & Sports Sleeve for Knee Osteoarthritis Pain Relief & Improved Function,3
NCT05542953,[18F]APN-1607 PET in Subjects With AD Compared to HC,0
NCT05407272,"Explore the Sharing Model Intervene to Improve the Knowledge, Attitudes, Service Intentions and Service Start-up Effects of the Eight Major Non-cancer Disease End-stage Caregivers on Well-being and Palliative Care",3
NCT01734395,A Study to Show That the Change of Attention Measure is Correlated With the Changes of Caregiver's Burden After Treatment With Galantamine in Patients With Alzheimer's Disease,3
NCT04992975,Brain Iron Toxicity and Neurodegeneration - A 7T MRI Study,2
NCT02829801,Evaluation of the Animal Intervention Used as Therapy,3
NCT02004392,Study of the Safety and Clinical Effects of 2 Doses of EVP-6124 in Subjects With Alzheimer's Disease Who Complete Study EVP-6124-024 or EVP-6124-025,1
NCT05882344,Cholinergic Deep Brain Stimulation for Alzheimer's Disease,2
NCT07166744,Contribution of Pathological Alpha-synuclein as a Diagnostic Biomarker for Dementia With Lewy Bodies,2
NCT06224205,Digital Detection of Dementia (D Cubed) Studies: D3,3
NCT07346794,"The Underlying Neural Mechanism of TMS in Improving the Imbalance of ""Microbiota-brain-gut Axis"" in Alzheimer 's Disease Population",2
NCT06584656,Understanding Cerebral Blood Flow Dynamics for Alzheimer's Disease Prevention Through Exercise,2
NCT00880451,Development and Decline of Brain and Cognition Through the Life Span,2
NCT03136692,Analysis of De-identified Data From Commercially-available App Lose It!,3
NCT06699992,Clinical Application and Usability of Blood Biomarkers As Screening Tool in Alzheimer Disease: a Validation Study,2
NCT01000038,"Wii-fit for Activity, Balance and Gait in Assisted Living",3
NCT02518243,Safe & Easy for Alzheimer's Disease and Related Pathologies,3
NCT04241068,"A Study to Evaluate Safety and Tolerability of Aducanumab in Participants With Alzheimer's Disease Who Had Previously Participated in the Aducanumab Studies 221AD103, 221AD301, 221AD302 and 221AD205",1
NCT06328374,Voice and Swallowing Disorders in Adults With and Without Alzheimer's Disease,3
NCT01324518,Safety and Efficacy of ORM-12741 in Patients With Alzheimer's Disease,1
NCT05349318,Hyperbaric Oxygen Therapy for Prodromal Alzheimer´s Disease With Cerebrovascular Disease,5
NCT06151808,"Analysis of XTR006 PET Imaging in Non-cognitively Impaired Subjects, MCI Due toAD, and Mild to Moderate AD Subjects",0
NCT00182897,PACT: Providers and Alzheimer's Caregivers Together,3
NCT05227820,Insulin-Sensitizing Anti-Inflammatory Small Molecule for Investigative Treatment of Dementia,2
NCT06445582,SV2A-PET/CT and PET/MRI Combined Clinical Criteria Score in the Diagnosis of Early Cognitive Alteration,0
NCT00161473,Alzheimer's in Long-Term Care--Treatment for Agitation,3
NCT03977584,Tau Positron Emission Tomography (PET) Longitudinal Substudy Associated With: Study of Crenezumab Versus Placebo in Preclinical Presenilin1 (PSEN1) E280A Mutation Carriers in the Treatment of Autosomal-Dominant Alzheimer's Disease,0
NCT02303158,Relationship Between Protein Biomarkers in Cerebrospinal Fluid and Alzheimer&Apos;s Disease in Patients With Depression,2
NCT01385033,[18F]MK-3328 as a Possible Novel Positron Emission Tomography (PET) Tracer for the Detection of Brain Amyloid Plaques (MK-3328-002),0
NCT05880147,App-based Consent for Pediatric Clinical Research,3
NCT03977025,Alzheimer Biomarkers on CSF of Elderly Patients Undergoing Surgery,2
NCT04045990,Network Modulation in Alzheimer's Disease,2
NCT02489110,Webnovela for Hispanic Dementia Family Caregivers,3
NCT07451223,Autonomous Navigating Robot for Detecting Falls and Risk of Falls in Nursing Home Residents With Alzheimer Disease/ADRD - Feasibility Study,3
NCT03656159,Evaluation of a New CBT for People With Alzheimer's Disease and Their Caregivers,3
NCT05934188,Exploring the Gut-Brain Axis in Ageing and Neurodegeneration,2
NCT04121208,MIcroglial Colony Stimulating Factor-1 Receptor (CSF1R) in Alzheimer's Disease,5
NCT00371059,Memantine for Agitation in Dementia,3
NCT07459959,"LiO-AD: Lithium Orotate in Alzheimers Disease Feasibility, Biomarker Engagement, and Clinical Response",2
NCT02875496,Reference Database & Longitudinal Registry of the Normal and Pathological Aging Brain,2
NCT06669546,"Effects of Real vs. Soundless Acoustic Stimulation During Deep Sleep on Brain Activity, Memory, and Blood Biomarkers in Older Adults (60-85) With Mild Memory Impairment",2
NCT01892579,Reducing Agitation in People With Dementia: the Customized Activity Trial,3
NCT01741194,AC-1204 26-Week Long Term Efficacy Response Trial With Optional Open-label Ext,1
NCT01122329,A Positron Emission Tomography (PET) Study Evaluating Brain Metabolism of a Medical Food in Alzheimer's Disease,0
NCT00824590,"A Phase 1, Non-Randomized, Open-Label, Single-Dose Study To Evaluate The Pharmacokinetics, Safety, And Tolerability Of Dimebon [PF 01913539] In Subjects With Severely-Impaired And Normal Renal Function",4
NCT00692510,Drug Interaction Study Between AZD3480 and Cytochrome P450,2
NCT04029623,Partnered Rhythmic Rehabilitation in Prodromal Alzheimer's Disease,2
NCT00411580,Safety and Tolerability Study in Patients With Mild to Moderate Alzheimer's Disease (AD),1
NCT04104373,The Ontario Neurodegenerative Disease Research Initiative,5
NCT06081569,Multimodal Deep Learning for the Diagnosis and Assessment of Alzheimer's Disease,5
NCT00687141,"Study to Assess the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of AZD0328 in Elderly Healthy Subjects",4
NCT01723488,"A Phase 0, Open Label, Multi-Center, Exploratory and Safety Study of [F-18]T808",0
NCT02632786,"The PRONTO Study, a Global Phase 2b Study of NEOD001 in Previously Treated Subjects With Light Chain (AL) Amyloidosis",1
NCT02185053,A Phase II Study of CPC-201 to Treat Alzheimer's Disease Type Dementia,4
NCT02928211,Aftobetin-HCl and Fluorescence Detection Measured by Sapphire II to Determine the Number and Timing of Administrations,5
NCT03644043,Evidence Amyloid Scan EEG Study,5
NCT00377715,"Double-blind, Placebo-controlled Study of Oral Dimebon in Subjects With Mild to Moderate Alzheimer's Disease",1
NCT02462291,New Approach for Treatment of Behavioral Disorders in Alzheimer's Disease (Alzheimer's Behavioral and Cognitive Disorders),3
NCT02946710,"P75NTR, Diagnostic Biomarker for Alzheimer's Disease: Quantification Study in Cerebrospinal Fluid",5
NCT07458620,Prospective Single-Arm Safety Study of Cervical LVA in AD Patients,2
NCT01482845,"A Phase 1 Study of the Safety, Tolerability and Pharmacokinetics of ABT-126 in Subjects With Alzheimer's Disease",4
NCT05885295,The Imperial Comprehensive Cognitive Assessment in Cerebrovascular Disease (IC3),2
NCT01640275,Markers of Alzheimers Disease After Propofol or Isoflurane Anesthesia,2
NCT03533257,Study to Assess the Safety and Biological Activity of AMX0035 for the Treatment of Alzheimer's Disease,5
NCT03284112,Old SCHOOL Hip-Hop: Improve Alzheimer's Disease Knowledge,3
NCT01554683,Seizure Activity in Alzheimer's Disease,2
NCT01276353,A Study Versus E2020 10mg Followed by an Open-label Extension Phase to Explore the Safety of E2020 SR 23 mg in Japanese Subjects With Severe Alzheimer's Type Dementia,1
NCT00056628,COGNIShunt® System for Alzheimer's Disease,2
NCT00548951,Alzheimer Patients and the Snoezelen Program,3
NCT04573829,PsyDoMa : Non-drug Approaches at Home for Alzheimer's Patients With Psycho-behavioural Disorders,3
NCT02968719,"A Phase 1, Corplex™ Donepezil Transdermal System Compared to Oral Aricept®",4
NCT02260167,"Treatment of Alzheimer's and Dementia With the Metabolism, Infections, Nutrition, Drug Elimination (MIND) Protocol",2
NCT02916056,2-Year Extension Study of Azeliragon in Subjects With Alzheimer's Disease (STEADFAST Extension),1
NCT01965756,Effect of Insulin Sensitizer Metformin on AD Biomarkers,5
NCT07554872,Study of Neural Stem Cell-Derived Exosomes in Moderate-to-Severe Early-Onset Alzheimer's Disease,1
NCT03297177,Autologous Stem/Stromal Cells in Neurological Disorders and Disease,2
NCT04311281,FDDNP Protocol for Visualizing Brain Proteinopathies to Assist in the Diagnosis of Persons With Suspected CTE and AD,0
NCT01608061,ADvance DBS-f in Patients With Mild Probable Alzheimer's Disease,2
NCT04786561,"Depression, Anxiety and Social Relationships as Risk Factors for Dementia",3
NCT01594541,A Retrospective Analysis of Cerefolin NAC® in Cognitively Impaired Patients,2
NCT01018875,Efficacy and Safety Study of ABT-288 in Subjects With Mild-to-Moderate Alzheimer's Disease,1
NCT07279103,Multisensory Environment-Based Occupational Therapy for Alzheimer's Patients,3
NCT04566770,A Clinical Trial of A COVID-19 Vaccine Named Recombinant Novel Coronavirus Vaccine (Adenovirus Type 5 Vector),1
NCT01622894,Genetics of Mendelian Forms of Young Onset Alzheimer Disease,2
NCT02420756,Imaging Dementia-Evidence for Amyloid Scanning (IDEAS) Study,0
NCT05055895,Association of Anticholinergic Burden With Onset of Delirium in Older Adults With Alzheimer Dementia:,2
NCT07420075,Alzheimer's Registry,5
NCT05561205,rTMS for Apathy Clinical Trial,2
NCT06618872,Incremental Diagnostic Value of Tau-PET With [18F]RO948 vs Amyloid-PET in Patients With Cognitive Impairment,0
NCT05159596,In-Home Technology for Caregivers of People With Dementia and Mild Cognitive Impairment: Spanish Language Homes,5
NCT04058886,Telephone-delivered Mindfulness Intervention for African American Dementia Caregivers,3
NCT01165554,Positron Emission Tomography (PET) Imaging of Brain Amyloid Compared to Post-Mortem Levels,0
NCT04926272,Amyloid-beta PET Imaging With 18F-92 in Alzheimer's Disease,0
NCT02114372,"Cognitive Health in Ageing Register: Investigational, Observational and Trial Studies in Dementia Research: Prospective Readiness Cohort Study",2
NCT02423122,"A PET Study of the Effects of p38 MAP Kinase Inhibitor, VX-745, on Amyloid Plaque Load in Alzheimer's Disease (AD)",0
NCT04025801,Heidelberg In Vivo Confocal Microscopy to Evaluate the Ocular Surface Disorders of Healthy and Diseased Individuals,2
NCT06121986,A Scalable Nutrition Adherence Intervention,5
NCT07025070,The Link Between Physical Activity and Brain Health in Healthy Adults,2
NCT04795466,Study of the Efficacy and Safety of Various Anti-inflammatory Agents in Participants With Mild Cognitive Impairment or Mild Alzheimer's Disease,5
NCT04122001,Effects of Electrical Stimulation on Verbal Learning in Typical and Atypical Alzheimer's Disease,2
NCT00867828,Neptune Krill Oil (NKO™) in Early Stage Alzheimer's Disease (MNEMOSYNE),2
NCT05929703,Evaluating Novel Healthcare Approaches to Nurturing and Caring for Hospitalized Elders,3
NCT01880151,Neuroelectrical Biomarkers for Alzheimer's Disease Stages,2
NCT00285077,Long-Term Safety Extension With SR57667B in Patients With Alzheimer's Disease,1
NCT04027712,"Platelet Reactivity, B-amyloid, MOTS-c and Mortality of Type II Diabetics With CAD",2
NCT04516057,Nabilone for Agitation Blinded Intervention Trial,3
NCT00703430,Memantine on Aggression and Agitation of Alzheimer's Disease (AD),3
NCT02859207,A Study to Evaluate the Pharmacokinetics of E2609 and Its Metabolites in Subjects With Mild and Moderate Hepatic Impairment Compared With Healthy Subjects,4
NCT06373094,A Single Dose Escalation Study of HHT201 in Healthy Subjects,4
NCT05097131,An Observational Study of Aducanumab-avwa in Participants With Alzheimer's Disease in the US,2
NCT02720445,Memory Improvement Through Nicotine Dosing (MIND) Study,2
NCT04010175,Digital Cognitive Remote Training in Alzheimer's Disease (MA-EIAD),2
NCT06008639,Efficacy and Safety of Near Infrared Light Therapy for Alzheimer's Disease,2
NCT03962439,Impact of Challenging Engagement on Cognition in Older Adults,2
NCT05003830,Application of Multi-probe PET/MR Imaging in the Diagnosis and Evaluation of Alzheimer's Disease,0
NCT07232459,[18F]FT8 PET Imaging in Immunoglobulin Light Chain Amyloidosis,0
NCT01092546,Positron Emission Tomography Imaging of Brain Amyloid in Normal Pressure Hydrocephalus,0
NCT04911803,Self-help App and Wellbeing,3
NCT03119961,Blood Brain Barrier Opening in Alzheimer' Disease,2
NCT02958670,Imaging Tau Deposition in the Brain of Elderly Subjects,0
NCT05979922,Mindfulness-based Cognitive Coping for ADRD Caregivers,3
NCT03160027,Photobiomodulation for Improving Brain Function in Dementia (PBM Dementia),2
NCT03129269,Cognitive Function and Prevalence of Amyloid Marker in Frail Older Adults,5
NCT01025466,Exelon Patch and Combination With Memantine Comparative Trial,1
